2022-07-24 19:01:47.441,Mode 3 access,100.00," gX: -0.04"," gY: -0.17"," gZ: -0.02",,,
2022-07-24 19:01:47.457,Mode 3 access,100.00," gX: -0.06"," gY: -0.20"," gZ: 0.01",,,
2022-07-24 19:01:47.470,Mode 3 access,100.00," gX: -0.11"," gY: -0.19"," gZ: 0.02",,,
2022-07-24 19:01:47.486,Mode 3 access,100.00," gX: -0.15"," gY: -0.17"," gZ: 0.01",,,
2022-07-24 19:01:47.503,Mode 3 access,100.00," gX: -0.15"," gY: -0.17"," gZ: 0.01",,,
2022-07-24 19:01:47.515,Mode 3 access,100.00," gX: -0.15"," gY: -0.11"," gZ: -0.01",,,
2022-07-24 19:01:47.531,Mode 3 access,100.00," gX: -0.13"," gY: -0.06"," gZ: -0.04",,,
2022-07-24 19:01:47.548,Mode 3 access,100.00," gX: -0.07"," gY: 0.03"," gZ: -0.04",," Gain*gyroY: 2",
2022-07-24 19:01:47.559,Mode 3 access,100.00," gX: -0.07"," gY: 0.03"," gZ: -0.04",," Gain*gyroY: 2",
2022-07-24 19:01:47.576,Mode 3 access,100.00," gX: -0.01"," gY: 0.07"," gZ: -0.04",," Gain*gyroY: 7",
2022-07-24 19:01:47.593,Mode 3 access,100.00," gX: 0.04"," gY: 0.14"," gZ: -0.05",," Gain*gyroY: 13",
2022-07-24 19:01:47.609,Mode 3 access,100.00," gX: 0.06"," gY: 0.21"," gZ: -0.05",," Gain*gyroY: 20",
2022-07-24 19:01:47.626,Mode 3 access,100.00," gX: 0.10"," gY: 0.29"," gZ: -0.03",," Gain*gyroY: 28",
2022-07-24 19:01:47.642,Mode 3 access,100.00," gX: 0.10"," gY: 0.29"," gZ: -0.03",," Gain*gyroY: 28",
2022-07-24 19:01:47.658,Mode 3 access,100.00," gX: 0.15"," gY: 0.39"," gZ: -0.00",," Gain*gyroY: 39",
2022-07-24 19:01:47.675,Mode 3 access,100.00," gX: 0.17"," gY: 0.32"," gZ: 0.03",," Gain*gyroY: 31",
2022-07-24 19:01:47.691,Mode 3 access,100.00," gX: 0.11"," gY: 0.15"," gZ: 0.03",," Gain*gyroY: 14",
2022-07-24 19:01:47.708,Mode 3 access,100.00," gX: -0.00"," gY: 0.32"," gZ: 0.02",," Gain*gyroY: 31",
2022-07-24 19:01:47.724,Mode 3 access,100.00," gX: -0.00"," gY: 0.32"," gZ: 0.02",," Gain*gyroY: 31",
